sample,id,phenomenon,ground_truth,prediction,evidence_ledger_count,evidence_support_count,evidence_conflict_count,evidence_anchor_count,debate_visual_evidence_count,debate_visual_witness_count,debate_visual_witness_ids,evidence_level_summary,debate_visual_evidence_ids,initial_evidence_status,initial_evidence_valid,initial_cited_evidence_ids,final_evidence_status,final_evidence_valid,final_cited_evidence_ids,debate_triggered,debate_revision_accepted,initial_source_evidence_valid,initial_source_cited_evidence_ids,final_source_evidence_valid,final_source_cited_evidence_ids,debate_proposed_evidence_status,debate_proposed_evidence_valid,debate_proposed_cited_evidence_ids,feedback_matched_rule_ids,debate_proposed_source_evidence_valid,debate_proposed_source_cited_evidence_ids,evidence_verifier_candidate_count,evidence_verifier_verified_count,evidence_verifier_support_count,evidence_verifier_conflict_count,evidence_verifier_neutral_count,evidence_verifier_model,evidence_verifier_revision,evidence_verifier_seconds,targeted_region_verification_method,targeted_region_verification_decision_grade,targeted_region_verification_reason
0,vflute_train_3351,humor,CONTRADICTS,ENTAILS,35,0,0,2,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 34}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VR001 | VR002 | VR004 | VR005 | VR006 | VR007,True,VR001 | VR002 | VR004 | VR005 | VR006 | VR007,GROUNDED_SOURCE_CITED,False,,,True,VR001,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.8105,,False,
1,vflute_train_1540,humor,ENTAILS,ENTAILS,29,0,0,2,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 28}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VR001 | VR002,True,VR001 | VR002,GROUNDED_SOURCE_CITED,False,,,True,VF004,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,2.1154,,False,
2,vflute_train_4536,metaphor,CONTRADICTS,CONTRADICTS,23,0,0,2,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 21}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF001 | VF002 | VF003,True,VF001 | VF002 | VF003,GROUNDED_ANCHORS_ONLY,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0685,,False,
3,vflute_train_2760,metaphor,ENTAILS,ENTAILS,22,0,0,1,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 20}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF002,True,VF002,GROUNDED_SOURCE_CITED,False,,,True,VF002,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,1.9552,,False,
4,vflute_train_1713,sarcasm,CONTRADICTS,CONTRADICTS,31,0,0,2,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 29}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF001,True,VF001,GROUNDED_SOURCE_CITED,False,,,True,VF003,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.3048,,False,
5,vflute_train_566,sarcasm,ENTAILS,CONTRADICTS,26,0,1,1,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 23, ""VERIFIED_RELATION"": 1}",,GROUNDED_SOURCE_CITED,False,,DIRECT_GROUNDED_EVIDENCE,True,IV001,True,False,True,VF001,True,IV001,GROUNDED_SOURCE_CITED,False,,,True,VF001,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0725,,False,
6,vflute_train_2199,humor,CONTRADICTS,CONTRADICTS,30,0,0,1,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 28}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF003,True,VF003,GROUNDED_SOURCE_CITED,False,,,True,VF001 | VF002 | VF003,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.1095,,False,
7,vflute_train_2850,humor,ENTAILS,ENTAILS,29,0,0,2,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 27}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF003,True,VF003,GROUNDED_SOURCE_CITED,False,,,True,VR001 | VF007 | VR002,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0677,,False,
8,vflute_train_4315,metaphor,CONTRADICTS,ENTAILS,17,0,0,1,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 15}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF004,True,VF004,GROUNDED_ANCHORS_ONLY,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0758,,False,
9,vflute_train_1595,metaphor,ENTAILS,ENTAILS,16,0,0,0,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 14}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF002,True,VF002,GROUNDED_SOURCE_CITED,False,,,True,VF001 | VF003,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.059,,False,
10,vflute_train_872,sarcasm,CONTRADICTS,ENTAILS,15,0,0,0,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 14}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF001,True,VF001,NO_DECISION_GRADE_EVIDENCE,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0768,,False,
11,vflute_train_4201,sarcasm,ENTAILS,ENTAILS,22,0,0,2,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 20}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF002 | VR001,True,VF002 | VR001,GROUNDED_SOURCE_CITED,False,,,True,VF002,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0945,,False,
12,vflute_train_1940,humor,CONTRADICTS,ENTAILS,29,0,0,2,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 28}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF001,True,VF001,GROUNDED_ANCHORS_ONLY,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.1872,,False,
13,vflute_train_3255,humor,ENTAILS,ENTAILS,23,0,0,1,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 22}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF001,True,VF001,GROUNDED_ANCHORS_ONLY,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.4039,,False,
14,vflute_train_1584,metaphor,CONTRADICTS,CONTRADICTS,21,0,1,0,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 19, ""VERIFIED_RELATION"": 1}",,GROUNDED_SOURCE_CITED,False,,DIRECT_GROUNDED_EVIDENCE,True,AV001,True,True,True,VF004,True,AV001,DIRECT_GROUNDED_EVIDENCE,True,AV001,,True,AV001,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.6528,,False,
15,vflute_train_1943,metaphor,ENTAILS,ENTAILS,14,0,0,0,0,0,,"{""OBSERVATION"": 14}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF004,True,VF004,GROUNDED_SOURCE_CITED,False,,,True,VF002,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.2512,,False,
16,vflute_train_1597,sarcasm,CONTRADICTS,CONTRADICTS,30,0,1,2,0,1,DW001,"{""BINDING"": 1, ""OBSERVATION"": 28, ""VERIFIED_RELATION"": 1}",,GROUNDED_SOURCE_CITED,False,,DIRECT_GROUNDED_EVIDENCE,True,IV001,True,False,True,VF003,True,IV001,GROUNDED_ANCHORS_ONLY,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.08,,False,
17,vflute_train_1312,sarcasm,ENTAILS,ENTAILS,16,0,0,0,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 14}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF004,True,VF004,NO_DECISION_GRADE_EVIDENCE,False,,,False,,7,0,0,0,7,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0785,,False,
18,vflute_train_4255,humor,CONTRADICTS,ENTAILS,33,1,1,2,0,2,DW001 | DW002,"{""BINDING"": 2, ""OBSERVATION"": 29, ""RELATION_CANDIDATE"": 2}",,GROUNDED_SOURCE_CITED,False,,GROUNDED_SOURCE_CITED,False,,True,False,True,VF002,True,VF002,GROUNDED_ANCHORS_ONLY,False,,,False,,8,0,0,0,8,cross-encoder/nli-MiniLM2-L6-H768,b95119ce93d3e065de6214e38cd4a97b0f2f2c6d,0.0762,,False,
