sample,id,phenomenon,ground_truth,pre_judge_prediction,prediction,judge_mode,judge_scope,judge_requested,judge_status,judge_trigger_reasons,judge_verdict,judge_confidence,judge_format_valid,judge_evidence_ids,judge_invalid_evidence_ids,judge_reason,judge_revision_accepted,judge_revision_reason,judge_seconds,judge_feedback_candidate_recorded,judge_feedback_role,judge_feedback_memory_update_applied,mediator_status,mediator_provisional_verdict,mediator_confidence,mediator_format_valid,mediator_evidence_ids,mediator_invalid_evidence_ids,mediator_disputed_issues,mediator_agent1_questions,mediator_agent2_questions,mediator_verification_requests,mediator_reason,mediator_usable,mediator_tiebreak_used,mediator_seconds,tribunal_state,tribunal_round_count,tribunal_stop_reason,tribunal_review_status,tribunal_revision_accepted,tribunal_revision_reason,tribunal_corroboration_reason,tribunal_acceptance_checks,tribunal_verified_evidence_id,judge_counterfactual_outcome
0,vflute_train_3351,humor,CONTRADICTS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,ENTAILS,0.95,True,VR004 | VR005,,Visual text directly supports caption's claim about consumption behavior differences based on sentiment.,False,claim_contract_not_safe,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,CA001 | VR001 | VR002 | VR003 | VR004 | VR005 | VR006 | VR007 | VR008 | VS001,,"Claim conflates 'disappearing' (throwing away) with 'lasting' (duration); image shows usage behavior differences, not product lifespan duration.",Does 'disappear quickly' mean 'thrown away quickly' or 'used up quickly'?,Is 'disappear' a metaphor for 'use up' or literal disposal?,Clarify if 'disappear' refers to consumption rate or physical removal.,"Claim conflates 'disappearing' (throwing away) with 'lasting' (duration); image shows usage behavior differences, not product lifespan duration.",True,False,46.1374,PRESERVED,1,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,unchanged
1,vflute_train_1540,humor,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,VF001 | VF002,,"Visual evidence (man/woman interaction) directly conflicts with the literal interpretation of the caption's scientific claim, requiring clarification on metaphor vs. literal meaning.",False,tribunal_citations_lack_independent_direction,0.0,False,,False,ABSTAIN,ABSTAIN,0.0,False,,,,,,,,False,False,70.199,PRESERVED,1,tribunal_citations_lack_independent_direction,RESOLVE,False,tribunal_citations_lack_independent_direction,current_round_visual_witness_not_cited,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_grounded"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_match_decision_grade_direction"", ""passed"": false, ""detail"": """"}]",,harmed
2,vflute_train_4536,metaphor,CONTRADICTS,CONTRADICTS,CONTRADICTS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,DW001 | VF003,,Visual evidence DW001 and VF003 directly contradict the caption's claim of rot without supporting it.,False,agent2_requirements_invalid,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF003 | VR006,,Caption claims 'rotten' heart; visual shows healthy red anatomy. Metaphor requires intent confirmation.,Does the ornate design imply decay or corruption visually?,Is 'rotten' intended as literal decay or purely metaphorical for emotion?,Check if 'rotten' contradicts healthy heart anatomy.,Caption claims 'rotten' heart; visual shows healthy red anatomy. Metaphor requires intent confirmation.,True,False,64.1872,PRESERVED,2,agent2_requirements_invalid,RESOLVE,False,agent2_requirements_invalid,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": false, ""detail"": """"}]",,unchanged
3,vflute_train_2760,metaphor,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,VF007,,"Visual evidence VF007 explicitly states no direct visible state for 'The economy' exists, contradicting the caption's specific claim.",False,tribunal_citations_lack_independent_direction,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF001 | VF002 | VF003 | VF004,,Caption claims 'economy recovered' while image depicts a man holding money and an upward arrow; metaphorical link requires semantic review.,Does the upward arrow and money imply economic recovery?,Is the visual metaphor sufficient to confirm 'recovered'?,Check if 'upward arrow + money' semantically entails 'economic recovery'.,Caption claims 'economy recovered' while image depicts a man holding money and an upward arrow; metaphorical link requires semantic review.,True,False,49.7716,PRESERVED,2,tribunal_citations_lack_independent_direction,RESOLVE,False,tribunal_citations_lack_independent_direction,current_round_visual_witness_not_cited,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_grounded"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_match_decision_grade_direction"", ""passed"": false, ""detail"": """"}]",,harmed
4,vflute_train_1713,sarcasm,CONTRADICTS,CONTRADICTS,CONTRADICTS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,VF001 | VF002,,Visual evidence of dancing and cheering directly contradicts the caption's claim of devastation.,False,claim_contract_not_safe,0.0,False,,False,ABSTAIN,ABSTAIN,0.0,True,,,Caption mentions 'Mike Fisher' (hockey player) but image shows a dance event with Steelers fans; no visual evidence links the subjects to Mike Fisher or hockey.,Can you confirm if any person in the image is identified as Mike Fisher?,Clarify if the caption's subject matches anyone visible in the image.,Check for any text or context linking the dancers to Mike Fisher.,Caption mentions 'Mike Fisher' (hockey player) but image shows a dance event with Steelers fans; no visual evidence links the subjects to Mike Fisher or hockey.,False,False,50.0614,PRESERVED,2,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,unchanged
5,vflute_train_566,sarcasm,ENTAILS,CONTRADICTS,CONTRADICTS,tribunal,all,True,tribunal_revision_accepted,all_samples_scope,CONTRADICTS,0.95,True,DW002 | VR001,,"Visual evidence directly contradicts the caption's interpretation of intent. The 'FREE Beer!' text is clearly part of a humorous dress code rule, not a genuine offer, resolving the conflict.",True,accepted_evidence_backed_confirmation:IV001,0.0,False,,False,ABSTAIN,ABSTAIN,0.0,False,,,,,,,,False,False,71.5535,RESOLVED,2,accepted_evidence_backed_confirmation:IV001,RESOLVE,True,accepted_evidence_backed_confirmation:IV001,three_source_relation_corroboration,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_grounded"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_match_decision_grade_direction"", ""passed"": true, ""detail"": ""IV001""}, {""name"": ""deterministic_review_board_acceptance"", ""passed"": true, ""detail"": """"}]",IV001,unchanged
6,vflute_train_2199,humor,CONTRADICTS,CONTRADICTS,CONTRADICTS,tribunal,all,True,tribunal_abstained,all_samples_scope,ABSTAIN,0.0,True,DW001 | DW002,,"Evidence shows driver provides excuse, contradicting caption's claim of effectiveness, but requires further verification to confirm resolution.",False,tribunal_not_resolved,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF001 | VF002 | VF003 | VF004,,"Claim about 'practical' questioning lacks direct support; humor implies failure, not effectiveness.",Does the image show the driver admitting to speeding?,Is the officer's response humorous or practical?,Check if driver admits to speeding in the scene.,"Claim about 'practical' questioning lacks direct support; humor implies failure, not effectiveness.",True,False,51.1219,ABSTAINED,2,mediator_abstained,ABSTAIN,False,tribunal_not_resolved,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": false, ""detail"": """"}]",,
7,vflute_train_2850,humor,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,DW002,,Visual evidence directly contradicts the caption's claim of non-usefulness.,False,tribunal_citations_lack_independent_direction,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,CA001 | VF001 | VF002 | VF003,,Caption claims 'non-useful' while text implies utility; need to verify if 'useless' refers to the bike's function or emotional impact.,"Does the text imply the bike is useless, or does it suggest thinking of it helps?",Clarify if 'non-useful' means the bike lacks practical value or serves no purpose.,Check if 'useless' modifies the bike's function or the feeling of uselessness.,Caption claims 'non-useful' while text implies utility; need to verify if 'useless' refers to the bike's function or emotional impact.,True,False,50.2279,PRESERVED,2,tribunal_citations_lack_independent_direction,RESOLVE,False,tribunal_citations_lack_independent_direction,claim_audit_not_endorsed,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_grounded"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_match_decision_grade_direction"", ""passed"": false, ""detail"": """"}]",,harmed
8,vflute_train_4315,metaphor,CONTRADICTS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,VF002 | VF003,,"Direct visual evidence of bats (VF002, VF003) conflicts with the positive sentiment of the caption.",False,claim_contract_not_safe,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF001 | VF002 | VF003,,Claim 'calm and relaxing' contradicts bat imagery; need to verify if bats imply fear or just decoration.,Do the bat symbols imply fear or are they merely decorative elements?,Is there any visual cue suggesting the meeting atmosphere is actually tense or scary?,Check if bat imagery is symbolic of danger or neutral decoration.,Claim 'calm and relaxing' contradicts bat imagery; need to verify if bats imply fear or just decoration.,True,False,50.9596,PRESERVED,2,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,corrected
9,vflute_train_1595,metaphor,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,ENTAILS,0.95,True,DW002,,Visual evidence DW002 confirms dismayed state supporting metaphorical claim.,False,claim_contract_not_safe,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF001 | VF002 | VF003 | VF004 | VF005 | VF006 | VR001 | VR002 | VR003 | VR004 | VR005 | VR006,,Discrepancy between VF003 (left eye) and VR001 (right eye) regarding hand position; requires visual re-inspection.,Re-inspect the image to confirm which eye is covered by the hand.,Clarify if 'heart sank' metaphorically applies to the man's emotional expression shown.,Check if the hand covers the left or right eye.,Discrepancy between VF003 (left eye) and VR001 (right eye) regarding hand position; requires visual re-inspection.,True,False,47.0454,PRESERVED,2,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,unchanged
